,primary_key,location_code,location,plastics_polymer,plastics_applications,total_waste,total_use
204,OPAFibresOther,OPA,OECD Asia,Fibres,Other,0.315490782,0.359968
205,OPABioplasticsOther,OPA,OECD Asia,Bioplastics,Other,0.007719826,0.008709
206,"OPAABS, ASA, SANOther",OPA,OECD Asia,"ABS, ASA, SAN",Other,0.021526788,0.024601
207,OPAOtherPackaging,OPA,OECD Asia,Other,Packaging,0.054246353,0.05577
208,"OPALDPE, LLDPEPackaging",OPA,OECD Asia,"LDPE, LLDPE",Packaging,1.187616748,1.223577
209,OPAHDPEPackaging,OPA,OECD Asia,HDPE,Packaging,1.124207199,1.157805
210,OPAPPPackaging,OPA,OECD Asia,PP,Packaging,1.147192901,1.181299
211,OPAPSPackaging,OPA,OECD Asia,PS,Packaging,0.210452033,0.21586
212,OPAPVCPackaging,OPA,OECD Asia,PVC,Packaging,0.127967145,0.131318
213,OPAPETPackaging,OPA,OECD Asia,PET,Packaging,0.875114169,0.901068
214,OPAPURPackaging,OPA,OECD Asia,PUR,Packaging,0.011842731,0.01217
215,OPABioplasticsPackaging,OPA,OECD Asia,Bioplastics,Packaging,0.046430564,0.046496
216,OPAOtherConsumer & institutional Products,OPA,OECD Asia,Other,Consumer & institutional Products,0.135033428,0.145118
217,"OPALDPE, LLDPEConsumer & institutional Products",OPA,OECD Asia,"LDPE, LLDPE",Consumer & institutional Products,0.259981298,0.280174
218,OPAHDPEConsumer & institutional Products,OPA,OECD Asia,HDPE,Consumer & institutional Products,0.18645092,0.201622
219,OPAPPConsumer & institutional Products,OPA,OECD Asia,PP,Consumer & institutional Products,0.520622952,0.560717
220,OPAPSConsumer & institutional Products,OPA,OECD Asia,PS,Consumer & institutional Products,0.170033884,0.18239
221,OPAPVCConsumer & institutional Products,OPA,OECD Asia,PVC,Consumer & institutional Products,0.080790414,0.086697
222,OPAPURConsumer & institutional Products,OPA,OECD Asia,PUR,Consumer & institutional Products,0.071880407,0.077247
223,OPABioplasticsConsumer & institutional Products,OPA,OECD Asia,Bioplastics,Consumer & institutional Products,0.005663014,0.005928
224,"OPAABS, ASA, SANConsumer & institutional Products",OPA,OECD Asia,"ABS, ASA, SAN",Consumer & institutional Products,0.136465259,0.146648
225,OPAOtherBuilding & construction,OPA,OECD Asia,Other,Building & construction,0.197272989,0.799034
226,"OPALDPE, LLDPEBuilding & construction",OPA,OECD Asia,"LDPE, LLDPE",Building & construction,0.062195069,0.268286
227,OPAHDPEBuilding & construction,OPA,OECD Asia,HDPE,Building & construction,0.187994966,0.835338
228,OPAPPBuilding & construction,OPA,OECD Asia,PP,Building & construction,0.101018747,0.430685
229,OPAPSBuilding & construction,OPA,OECD Asia,PS,Building & construction,0.125053018,0.505624
230,OPAPVCBuilding & construction,OPA,OECD Asia,PVC,Building & construction,0.684885824,2.87036
231,OPAPURBuilding & construction,OPA,OECD Asia,PUR,Building & construction,0.105756521,0.426474
232,OPABioplasticsBuilding & construction,OPA,OECD Asia,Bioplastics,Building & construction,0.00197519,0.007744
233,"OPAABS, ASA, SANBuilding & construction",OPA,OECD Asia,"ABS, ASA, SAN",Building & construction,0.00567198,0.022859
234,OPAOtherElectrical/electronics,OPA,OECD Asia,Other,Electrical/electronics,0.213323106,0.272439
235,"OPALDPE, LLDPEElectrical/electronics",OPA,OECD Asia,"LDPE, LLDPE",Electrical/electronics,0.057374158,0.073632
236,OPAHDPEElectrical/electronics,OPA,OECD Asia,HDPE,Electrical/electronics,0.017664882,0.022898
237,OPAPPElectrical/electronics,OPA,OECD Asia,PP,Electrical/electronics,0.134290689,0.172791
238,OPAPSElectrical/electronics,OPA,OECD Asia,PS,Electrical/electronics,0.063951726,0.081526
239,OPAPVCElectrical/electronics,OPA,OECD Asia,PVC,Electrical/electronics,0.055175216,0.070555
240,OPAPURElectrical/electronics,OPA,OECD Asia,PUR,Electrical/electronics,0.033809628,0.043168
241,OPABioplasticsElectrical/electronics,OPA,OECD Asia,Bioplastics,Electrical/electronics,0.001830596,0.002275
242,"OPAABS, ASA, SANElectrical/electronics",OPA,OECD Asia,"ABS, ASA, SAN",Electrical/electronics,0.094664816,0.120869
243,OPAOtherTransportation - other,OPA,OECD Asia,Other,Transportation - other,0.312342422,0.467586
244,"OPALDPE, LLDPETransportation - other",OPA,OECD Asia,"LDPE, LLDPE",Transportation - other,0.00559779,0.008467
245,OPAHDPETransportation - other,OPA,OECD Asia,HDPE,Transportation - other,0.025408239,0.038626
246,OPAPPTransportation - other,OPA,OECD Asia,PP,Transportation - other,0.116036023,0.174293
247,OPAPVCTransportation - other,OPA,OECD Asia,PVC,Transportation - other,0.016051022,0.023973
248,OPAPURTransportation - other,OPA,OECD Asia,PUR,Transportation - other,0.037617181,0.056285
249,OPAFibresTransportation - other,OPA,OECD Asia,Fibres,Transportation - other,0.066868281,0.100053
