"LOCATION","Location","PLASTIC_CATEGORY","Plastic category","PLASTIC_SOURCES","Plastic sources","Value","Flag Codes","Flags"
"CHN1","China","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.138897251,,
"CHN1","China","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.009577687,,
"CHN1","China","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.044663975,,
"CHN1","China","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.00714227,,
"CHN1","China","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.004142099,,
"CHN1","China","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.153237034,,
"CHN1","China","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.054829847,,
"IND1","India","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",1.943092432,,
"IND1","India","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.014292994,,
"IND1","India","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.100623906,,
"IND1","India","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",1.828175532,,
"IND1","India","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.262419907,,
"IND1","India","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.023377256,,
"IND1","India","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.00037583,,
"IND1","India","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000491933,,
"IND1","India","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.053665475,,
"IND1","India","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.003581089,,
"IND1","India","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.015710541,,
"IND1","India","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.003665772,,
"IND1","India","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.002078655,,
"IND1","India","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.127917311,,
"IND1","India","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.031556046,,
