"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"ODA","Other non-OECD Asia","PERSONAL_CARE_PRODUCTS","Personal care products","HDPE","HDPE",0.00385,,
"ODA","Other non-OECD Asia","PERSONAL_CARE_PRODUCTS","Personal care products","PP","PP",0.000099,,
"ODA","Other non-OECD Asia","PERSONAL_CARE_PRODUCTS","Personal care products","TOTAL","Total",0.003949,,
"ODA","Other non-OECD Asia","TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","FIBERS","Fibres",3.594676,,
"ODA","Other non-OECD Asia","TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","BIOPLASTICS","Bioplastics",0.032486,,
"ODA","Other non-OECD Asia","TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","TOTAL","Total",3.627162,,
"ODA","Other non-OECD Asia","TEXTILE_SECTOR_-_OTHERS","Textile sector - others","FIBERS","Fibres",1.307915,,
"ODA","Other non-OECD Asia","TEXTILE_SECTOR_-_OTHERS","Textile sector - others","TOTAL","Total",1.307915,,
"ODA","Other non-OECD Asia","ROAD_MARKING","Road marking","ROAD_MARKING_COATINGS","Road marking coatings",0.043771,,
"ODA","Other non-OECD Asia","ROAD_MARKING","Road marking","TOTAL","Total",0.043771,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_TYRES","Transportation - tyres","ELASTOMERS_TYRES","Elastomers (tyres)",1.380471,,
"ODA","Other non-OECD Asia","TRANSPORTATION_-_TYRES","Transportation - tyres","TOTAL","Total",1.380471,,
"ODA","Other non-OECD Asia","TOTAL","Total","OTHER","Other",7.753906,,
"ODA","Other non-OECD Asia","TOTAL","Total","MARINE_COATINGS","Marine coatings",0.046077,,
"ODA","Other non-OECD Asia","TOTAL","Total","LDPE_LLDPE","LDPE, LLDPE",3.47902,,
"ODA","Other non-OECD Asia","TOTAL","Total","HDPE","HDPE",3.725605,,
"ODA","Other non-OECD Asia","TOTAL","Total","PP","PP",5.70797,,
"ODA","Other non-OECD Asia","TOTAL","Total","PS","PS",1.413784,,
"ODA","Other non-OECD Asia","TOTAL","Total","PVC","PVC",3.641358,,
"ODA","Other non-OECD Asia","TOTAL","Total","PET","PET",1.579226,,
"ODA","Other non-OECD Asia","TOTAL","Total","PUR","PUR",1.448296,,
"ODA","Other non-OECD Asia","TOTAL","Total","FIBERS","Fibres",6.509215,,
"ODA","Other non-OECD Asia","TOTAL","Total","ROAD_MARKING_COATINGS","Road marking coatings",0.043771,,
"ODA","Other non-OECD Asia","TOTAL","Total","ELASTOMERS_TYRES","Elastomers (tyres)",1.380471,,
"ODA","Other non-OECD Asia","TOTAL","Total","BIOPLASTICS","Bioplastics",0.180113,,
"ODA","Other non-OECD Asia","TOTAL","Total","ABS_ASA_SAN","ABS, ASA, SAN",0.73221,,
"ODA","Other non-OECD Asia","TOTAL","Total","TOTAL","Total",37.641022,,
"OPA","OECD Asia","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.000009,,
"EU5","Other EU","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.000004,,
"RAN","Other Eurasia","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.000005,,
"MEN","Middle East & North Africa","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.000004,,
"OAF","Other Africa","INDUSTRIAL_MACHINERY","Industrial/machinery","PUR","PUR",0.000003,,
